capture_label,session_id,locklet_id,source_name,status,reason,state_count
D1,cap-20260825T142817-9949c81ca994,D1,recent_frame_inventory,evaluable,identical-mask state rows available,940
D2,cap-20260825T145100-cc48b00cfa28,D2,recent_frame_inventory,evaluable,identical-mask state rows available,1080
D3,cap-20260825T150802-473cb5bbcbd6,D3,recent_frame_inventory,evaluable,identical-mask state rows available,1142
H1,cap-20260825T144823-4a812245fce1,H1-T000,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T001,opened_holdout_tile_inventory,source_failure,selected interval has no exact branch-bound GLRT epoch source,0
H1,cap-20260825T144823-4a812245fce1,H1-T002,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T003,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T004,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T005,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T006,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H1,cap-20260825T144823-4a812245fce1,H1-T007,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H2,cap-20260825T130425-1678069fefd1,H2-T000,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,415
H2,cap-20260825T130425-1678069fefd1,H2-T001,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,514
H2,cap-20260825T130425-1678069fefd1,H2-T002,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,683
H2,cap-20260825T130425-1678069fefd1,H2-T003,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,912
H2,cap-20260825T130425-1678069fefd1,H2-T004,opened_holdout_tile_inventory,source_failure,selected interval has no exact branch-bound GLRT epoch source,0
H2,cap-20260825T130425-1678069fefd1,H2-T005,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1084
H2,cap-20260825T130425-1678069fefd1,H2-T006,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1088
H3,cap-20260825T115127-b61fef4673a4,H3-T000,opened_holdout_tile_inventory,source_failure,selected interval has no exact branch-bound GLRT epoch source,0
H3,cap-20260825T115127-b61fef4673a4,H3-T001,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,196
H3,cap-20260825T115127-b61fef4673a4,H3-T002,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,245
H3,cap-20260825T115127-b61fef4673a4,H3-T003,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,292
H3,cap-20260825T115127-b61fef4673a4,H3-T004,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,296
H3,cap-20260825T115127-b61fef4673a4,H3-T005,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,393
H3,cap-20260825T115127-b61fef4673a4,H3-T006,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,468
H4,cap-20260825T101428-681b85cf4224,H4-T000,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T001,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,8
H4,cap-20260825T101428-681b85cf4224,H4-T002,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,93
H4,cap-20260825T101428-681b85cf4224,H4-T003,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,54
H4,cap-20260825T101428-681b85cf4224,H4-T004,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T005,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T006,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T007,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T008,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H4,cap-20260825T101428-681b85cf4224,H4-T009,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
