session_id,status,reason,recording_manifest_sha256,analysis_run_id,analysis_manifest_sha256
cap-20260824T192019-9023840c8e9f,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:cd0049f00d83f328de1cb0105a54f5492448d6b60ae71d7848a4554fcb618717,capture-a7c71070425e4aa596da41af5397be52,sha256:e4f595e4dbcd96c0990ce938c1f7ec959b4d62c8abb1b3cddfbde47da7659822
cap-20260824T192252-9981b9c27853,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:afaecccd1130c09d4604bdebc99ff8fbb4089c9dd031602b117312739be094e3,capture-6f6c7e02f16b4f6dbcb260e92864adfa,sha256:eaf70acbb00dbea85379a5389af3f73ba5eee8176c61d149ff99dfa350bad1b8
cap-20260824T192531-491832825b97,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:145c55e56c3e7f1f76b1b769ae3779edc90186a2a2a91ecb05338212c724b2db,capture-f75a853e526844e29893f125d4a58940,sha256:1b4b6fa3dd6c2fb13febe5531ee25eb78cc46b47480ec5cece472aca9d73e838
cap-20260824T193733-1454b499b8bb,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:0797ece2aaba53fe19b0834da20681a489fced0041428e72afa5a88bf39fda14,capture-433e7ae26bac4afc83993e1b819a70a1,sha256:75de40096bbd5cd36c6723fad1572e071016b672a4f99da98b74be1a00d5414d
cap-20260824T194009-34ae34f129bc,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:36d5aff52be690816bf1a0e98e29421204fded2ffa133f464864a6e9cb09c764,capture-199a841b06bb403fb6d07c26ea911a6a,sha256:35d71825bb7d957263f60d90bee13189be35d4cdbffc5fec50b983cf357df43d
cap-20260824T194245-1dfbc879df2b,non_evaluable,no digest-closed serialized frame product separates even-Qin training CFO from odd-Qin response CFO,sha256:90a15636bead27e955e6009f71b6cecb3dd207e05fd8633b49d469c7585e3213,capture-0fd511c099d9427b9057e7ce6b0d4878,sha256:e0bef80e095dc9d83f3043baebdf70f34f5dc9dcd3385558c0837bb66c9be565
cap-20260825T054455-47f684bbc3cc,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:bdec658bdb3d5b5986675e2c63abdab838250cb80a14d336f390f049d6104beb,capture-35c78026067648a4a1b5e21bd051ac8d,sha256:8f0dabd41de86f04fdd2dd594accba3802c75bd10201331203576ce3b9e077e3
cap-20260825T071530-b00e74ac23ee,non_evaluable,serialized source produced no identical-mask forecast rows,sha256:811c93426cc919b665b31def0be3fce39cda99c36b4d135f0541c474b85d8fd6,capture-e6fde7c7cebc467dbb9f9b020d0eed42,sha256:08eb51af2b11edda75b1a560be17b946e8e99219003b894df99f4f0ccc5a2b5f
cap-20260825T083906-9e15fac173f1,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:66de0b45bea25086e5a1370a3d4ec52536e14e33e0546a29ac924ed96a6e502d,capture-71e74e04f6f845dabcef42cebca5d824,sha256:05e1ee94aa12f4e9cd4aab54c3351bfc7aba7615596762fd90f57e6772fe992d
cap-20260825T101428-681b85cf4224,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:baa1090f71473ae609ea0ee243f877ea62238f4e3cb9c7bc35ee056b696ab511,capture-f2adc434dea043dd9c990047a0ed606d,sha256:241d4c0767a8862a8905133c01bb71a7e1e9b6278af3bce701de76ef9f183293
cap-20260825T115127-b61fef4673a4,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:66834fb6fd1371caaebc1334969460145581f63ecee3b1934a67b99ce224f1db,capture-ddac8fb43dc8493aaf920660b61be602,sha256:77c691899e3e0653e4c37dd0e65a252dc15533b9a9ed866b28669adb3500ebb8
cap-20260825T130425-1678069fefd1,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:e7ff12eb1182d8500470b1d19db44de2b70031d9ead7967fa9bcffb2cfe9dedb,capture-26248533f2dd4bd193e840ce10a914b4,sha256:6e5fc7f41120d950dcee5ecde9faf402d1314637a44048c081d8e53d3562f665
cap-20260825T142817-9949c81ca994,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:aaf56724083d7d13ba5e1b297e2913db59d20cecdd251b9a9344e9851f800eb0,capture-0519963f25144300b914f76ce51cc334,sha256:65a3e32bb28c2df643f0aa66d4086632134ff4a977ca47a80e3f9928f9e2ef9f
cap-20260825T144823-4a812245fce1,non_evaluable,serialized source produced no identical-mask forecast rows,sha256:34354ed9e1e3b5049db5ffa7352cf571ff8c48fb5fd931a3f8154740458901ee,capture-40f352e091104c55b7d6ba3cef588ee8,sha256:1eede9a442f34df082b5caf62701922b6811e4ad6c9f1c8e98cd907bb69d8069
cap-20260825T145100-cc48b00cfa28,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:be93b46f13cccfd6b23c477f0d7ecb789b74a9aa2a25789d640c719b3d29c211,capture-212d694a2019444da85b63fe021fe295,sha256:01d3e38902f95577a356460541aa2153bb6ef02e727b0f7d712fd76f54a9f780
cap-20260825T150802-473cb5bbcbd6,evaluable,digest-closed parity-split source produced identical-mask forecasts,sha256:ab55917851a9cd37af94b6145cc719f7b8d9d0809f2202a2dcd1ac38c3e7a31e,capture-a5d45dd7752c4fc7833cd017a289f8d7,sha256:2c324981c56db42d68fee05ebdc6fa3b350a067df39e37782d9485bcc6eda47b
