iteration,name,postseal_geographic_error_km,aggregate_min_km,aggregate_max_km,geographic_metric_kind,current_disposition,note,source_path,source_sha256
1,Shared-time DS1 benchmark,3.364,1.996,4.134,aggregate,benchmark,Median of eight completed full-block/start results; not one sequential estimate.,reports/2026_09_24_ds1/REPORT.md,da9c427916e2ad6e5d407e1fdb793df807302c0764e009ce2df8268d05b1ef0c
2,Local geographic refinement,3.912,1.689,6.055,aggregate,development,Median and range of four prefix-6 global-time arms; one-scan arms excluded from this summary.,reports/2026_09_24_ds1_iteration2/REPORT.md,a5c68d401e83860a5f51091c2f8073ad0bf6c8e154692d790fa09fed2eadfa8f
3,Joint tau/rate screening,3.01179,0.634774,4.260024,aggregate,invalid,Mean/range of four overlapping development views; later convergence audit found all four selected fits nonconverged.,reports/2026_09_24_ds1_joint_rate_search/iteration3-postseal/iteration3-postseal.json,4a47a550da2fadfdd21b03d95c8319f36527f7117594220a9620e93cebf97498
4,Seed-union exact selection,2.313292,0.422928,4.203656,aggregate,development,Mean/range of two group-specific estimates; not a shared-coordinate estimate.,reports/2026_09_24_ds1_joint_rate_search/iteration4-postseal/iteration4-postseal.json,ca83582ec8cd4450ea1437436f72dd6283d8d5cc8e3aae719ade49698cb706bf
5,Timing refinement,2.725182,1.730384,3.719981,aggregate,development,Mean/range of two group-specific estimates; one group improved and one regressed.,reports/2026_09_24_ds1_joint_rate_search/iteration5-postseal/iteration5-postseal.json,d82cef452938c8c0d3b5e75c22b8e13d98c06ba4d680eb2c06e3be6e648a7252
6,Expanded exact shortlist,1.789851,0.422928,3.156774,aggregate,development,Mean/range of two group-specific estimates; still not one shared coordinate.,reports/2026_09_24_ds1_joint_rate_search/iteration6-postseal/iteration6-postseal.json,ea7900cbc721f1be6a059fc6a4bd396e44a7bac661e0aa08919b3f97f1f24dc6
7,Residual likelihood ablation,1.789851,0.422928,3.156774,aggregate,no_gain,Gaussian arm retained iteration-6 geography; robust arm was worse in one group.,reports/2026_09_24_ds1_joint_rate_search/iteration7-postseal/iteration7-postseal.json,0e5bebe6831cc6e49b567789276c122fd6776d0524d23c5409e7ea7203fa2aa2
8,Joint shared coordinate,1.359305,,,point,development,First result in the directly comparable shared-coordinate sequence.,reports/2026_09_24_ds1_iteration8_joint_groups/REPORT.md,c6a6fb7e085361c3f3d83f5af0878ea1a47022a036b7e3c50f6826bcd0367a5b
9,Joint local refinement,1.242891,,,point,development,Reference-free selected shared coordinate; development corpus.,reports/2026_09_24_ds1_iteration9_joint_refinement/REPORT.md,ae5c11b28d8f694a3f2a1fdf330ca0b3e7ce5d575ad5b664179839105f1046c2
10,Finer joint refinement,1.179286,,,point,development,Reference-free selected shared coordinate; development corpus.,reports/2026_09_24_ds1_iteration10_refinement/REPORT.md,e14ace69bdf7eeff179f879ebd6b4ce1ad7683034da922b1f80c2764e7cb104e
11,Fine confirmation,1.212614,,,point,no_gain,Fine-grid selected result was slightly worse than iteration 10.,reports/2026_09_24_ds1_iteration11_fine_confirmation/REPORT.md,077e6d6233ced5e527b687ddc56e56299b506d0ba7ae719a4b078b1fb8d31bf9
12,Expanded/session-scale basin,0.787188,,,point,invalidated,Historical sub-km development result; later rate-bound audit invalidated its qualification.,reports/2026_09_24_ds1_iteration12_session_scale/REPORT.md,30aabc0010ffa1f6c6523235dfc38f52e3d1cef25c4b1bb26fb3f2a8f0dd0c48
