channel,first_probe_dual_rx,passing_candidate_records,passing_receiver_probes,rx0_any_probe,rx1_any_probe,same_probe_dual_rx,same_probe_dual_rx_count,split,status,time_bin,visit_index
1,False,9,5,False,True,False,0,development,completed,0,177
1,False,18,11,True,True,True,5,development,completed,0,194
1,True,14,8,True,True,True,2,development,completed,0,34
1,False,0,0,False,False,False,0,development,completed,0,89
1,True,23,9,True,True,True,3,development,completed,1,449
1,True,33,12,True,True,True,6,development,completed,1,372
1,True,27,12,True,True,True,6,development,completed,1,322
1,True,22,12,True,True,True,6,development,completed,1,351
1,False,13,6,False,True,False,0,evaluation,completed,2,731
1,False,17,6,False,True,False,0,evaluation,completed,2,805
1,False,13,5,False,True,False,0,evaluation,completed,2,767
1,False,11,6,True,True,True,2,evaluation,completed,2,609
1,True,40,12,True,True,True,6,evaluation,completed,3,1043
1,True,30,12,True,True,True,6,evaluation,completed,3,969
1,True,33,12,True,True,True,6,evaluation,completed,3,951
1,True,35,12,True,True,True,6,evaluation,completed,3,1074
1,True,20,12,True,True,True,6,evaluation,completed,4,1149
1,False,15,8,True,True,True,3,evaluation,completed,4,1136
1,False,11,6,False,True,False,0,evaluation,completed,4,1376
1,True,7,5,True,True,True,2,evaluation,completed,4,1198
1,False,6,5,True,True,True,1,evaluation,completed,5,1440
1,True,28,12,True,True,True,6,evaluation,completed,5,1629
1,False,0,0,False,False,False,0,evaluation,completed,5,1520
1,False,8,4,False,True,False,0,evaluation,completed,5,1493
1,False,13,7,True,True,True,1,evaluation,completed,6,1778
1,True,24,11,True,True,True,5,evaluation,completed,6,1717
1,False,0,0,False,False,False,0,evaluation,completed,6,1844
1,True,30,12,True,True,True,6,evaluation,completed,6,1718
1,False,0,0,False,False,False,0,evaluation,completed,7,2031
1,False,0,0,False,False,False,0,evaluation,completed,7,1999
1,False,0,0,False,False,False,0,evaluation,completed,7,2169
1,False,0,0,False,False,False,0,evaluation,completed,7,1961
2,False,5,3,True,False,False,0,development,completed,0,250
2,False,2,2,False,True,False,0,development,completed,0,2
2,False,1,1,False,True,False,0,development,completed,0,130
2,False,4,2,False,True,False,0,development,completed,0,26
2,False,8,3,True,False,False,0,development,completed,1,401
2,True,20,9,True,True,True,3,development,completed,1,319
2,False,3,2,True,False,False,0,development,completed,1,288
2,False,19,7,True,True,True,1,development,completed,1,368
2,False,12,6,False,True,False,0,evaluation,completed,2,713
2,False,2,2,False,True,False,0,evaluation,completed,2,665
2,False,1,1,False,True,False,0,evaluation,completed,2,621
2,False,2,2,False,True,False,0,evaluation,completed,2,656
2,True,37,12,True,True,True,6,evaluation,completed,3,952
2,True,38,12,True,True,True,6,evaluation,completed,3,923
2,True,45,12,True,True,True,6,evaluation,completed,3,1010
2,True,33,11,True,True,True,5,evaluation,completed,3,901
2,True,21,12,True,True,True,6,evaluation,completed,4,1168
2,False,22,10,True,True,True,5,evaluation,completed,4,1111
2,False,0,0,False,False,False,0,evaluation,completed,4,1228
2,False,0,0,False,False,False,0,evaluation,completed,4,1377
2,False,0,0,False,False,False,0,evaluation,completed,5,1506
2,True,41,12,True,True,True,6,evaluation,completed,5,1626
2,False,0,0,False,False,False,0,evaluation,completed,5,1441
2,False,0,0,False,False,False,0,evaluation,completed,5,1454
2,True,43,12,True,True,True,6,evaluation,completed,6,1711
2,True,23,7,True,True,True,1,evaluation,completed,6,1759
2,True,37,11,True,True,True,5,evaluation,completed,6,1742
2,False,0,0,False,False,False,0,evaluation,completed,6,1869
2,False,0,0,False,False,False,0,evaluation,completed,7,1981
2,False,0,0,False,False,False,0,evaluation,completed,7,1955
2,False,0,0,False,False,False,0,evaluation,completed,7,2146
2,False,0,0,False,False,False,0,evaluation,completed,7,2048
3,False,0,0,False,False,False,0,development,completed,0,86
3,False,0,0,False,False,False,0,development,completed,0,161
3,False,0,0,False,False,False,0,development,completed,0,32
3,False,0,0,False,False,False,0,development,completed,0,68
3,False,0,0,False,False,False,0,development,completed,1,434
3,False,0,0,False,False,False,0,development,completed,1,492
3,False,0,0,False,False,False,0,development,completed,1,337
3,False,0,0,False,False,False,0,development,completed,1,442
3,False,0,0,False,False,False,0,evaluation,completed,2,757
3,False,0,0,False,False,False,0,evaluation,completed,2,748
3,False,1,1,False,True,False,0,evaluation,completed,2,784
3,False,0,0,False,False,False,0,evaluation,completed,2,689
3,False,0,0,False,False,False,0,evaluation,completed,3,1040
3,False,0,0,False,False,False,0,evaluation,completed,3,972
3,False,0,0,False,False,False,0,evaluation,completed,3,872
3,False,0,0,False,False,False,0,evaluation,completed,3,1086
3,False,0,0,False,False,False,0,evaluation,completed,4,1355
3,False,0,0,False,False,False,0,evaluation,completed,4,1182
3,False,0,0,False,False,False,0,evaluation,completed,4,1253
3,False,0,0,False,False,False,0,evaluation,completed,4,1189
3,False,1,1,False,True,False,0,evaluation,completed,5,1555
3,False,1,1,False,True,False,0,evaluation,completed,5,1568
3,False,1,1,False,True,False,0,evaluation,completed,5,1542
3,False,2,2,False,True,False,0,evaluation,completed,5,1570
3,False,0,0,False,False,False,0,evaluation,completed,6,1690
3,False,0,0,False,False,False,0,evaluation,completed,6,1697
3,False,0,0,False,False,False,0,evaluation,completed,6,1681
3,False,0,0,False,False,False,0,evaluation,completed,6,1848
3,False,0,0,False,False,False,0,evaluation,completed,7,2179
3,False,0,0,False,False,False,0,evaluation,completed,7,2015
3,False,0,0,False,False,False,0,evaluation,completed,7,2212
3,False,0,0,False,False,False,0,evaluation,completed,7,2112
4,True,32,12,True,True,True,6,development,completed,0,106
4,True,38,12,True,True,True,6,development,completed,0,139
4,True,30,12,True,True,True,6,development,completed,0,165
4,True,38,12,True,True,True,6,development,completed,0,128
4,True,12,8,True,True,True,4,development,completed,1,403
4,True,13,9,True,True,True,4,development,completed,1,428
4,False,1,1,False,True,False,0,development,completed,1,550
4,True,23,11,True,True,True,5,development,completed,1,453
4,False,3,2,False,True,False,0,evaluation,completed,2,685
4,False,7,4,False,True,False,0,evaluation,completed,2,711
4,True,23,10,True,True,True,4,evaluation,completed,2,814
4,False,10,6,False,True,False,0,evaluation,completed,2,681
4,True,42,12,True,True,True,6,evaluation,completed,3,1036
4,True,33,12,True,True,True,6,evaluation,completed,3,852
4,True,46,12,True,True,True,6,evaluation,completed,3,1014
4,True,29,8,True,True,True,2,evaluation,completed,3,895
4,False,0,0,False,False,False,0,evaluation,completed,4,1142
4,False,0,0,False,False,False,0,evaluation,completed,4,1295
4,False,0,0,False,False,False,0,evaluation,completed,4,1119
4,False,1,1,False,True,False,0,evaluation,completed,4,1137
4,False,0,0,False,False,False,0,evaluation,completed,5,1464
4,True,21,12,True,True,True,6,evaluation,completed,5,1615
4,True,30,12,True,True,True,6,evaluation,completed,5,1634
4,True,22,9,True,True,True,3,evaluation,completed,5,1599
4,True,22,12,True,True,True,6,evaluation,completed,6,1807
4,True,23,11,True,True,True,5,evaluation,completed,6,1733
4,False,0,0,False,False,False,0,evaluation,completed,6,1863
4,True,29,12,True,True,True,6,evaluation,completed,6,1666
4,False,0,0,False,False,False,0,evaluation,completed,7,2142
4,False,0,0,False,False,False,0,evaluation,completed,7,2007
4,False,0,0,False,False,False,0,evaluation,completed,7,2196
4,False,0,0,False,False,False,0,evaluation,completed,7,2044
